# wavelength,transmittance,std
3.600000000000000000e+02,3.517162137854948628e-06,9.199802369418792411e-04
3.610000000000000000e+02,3.971068765555340280e-06,5.290548080293667717e-04
3.620000000000000000e+02,3.891984428851518849e-06,5.199067515459191314e-04
3.630000000000000000e+02,3.808275190498655523e-06,4.181488788081160900e-04
3.640000000000000000e+02,4.199239509165600473e-06,4.163331998932269301e-04
3.650000000000000000e+02,4.393898938178154471e-06,4.682872294787992010e-04
3.660000000000000000e+02,4.406248246136025176e-06,4.163331998932269301e-04
3.670000000000000000e+02,4.376369304864598474e-06,4.353101761904369735e-04
3.680000000000000000e+02,4.656176919880600243e-06,4.425591326123388914e-04
3.690000000000000000e+02,4.452365288257266992e-06,4.329835418058604964e-04
3.700000000000000000e+02,5.096797070567043471e-06,4.793724854411023453e-04
3.710000000000000000e+02,5.122765520965530071e-06,4.893822120745193070e-04
3.720000000000000000e+02,5.027897378971192924e-06,5.001009999000300289e-04
3.730000000000000000e+02,6.014668713003374256e-06,5.056249258655727769e-04
3.740000000000000000e+02,7.467684244131366876e-06,4.793724854411019116e-04
3.750000000000000000e+02,8.797227125265955912e-06,3.738956803681741910e-04
3.760000000000000000e+02,1.210382682105908208e-05,4.902071300001971214e-04
3.770000000000000000e+02,1.636781271847058693e-05,5.378595813899096460e-04
3.780000000000000000e+02,2.161985184328007504e-05,5.206833117271103539e-04
3.790000000000000000e+02,2.875082207365834365e-05,5.983141298513664939e-04
3.800000000000000000e+02,3.747941253641271636e-05,6.435381994422818396e-04
3.810000000000000000e+02,4.754136482385453447e-05,6.723244767373875996e-04
3.820000000000000000e+02,6.146634187763234806e-05,9.239244361073926156e-04
3.830000000000000000e+02,8.385550206148303422e-05,1.412927328762394281e-03
3.840000000000000000e+02,1.307483839276045272e-04,3.275498265743532166e-03
3.850000000000000000e+02,3.144561457680750322e-04,1.773022016419162350e-02
3.860000000000000000e+02,1.973946922420956318e-03,2.283811122318183673e-01
3.870000000000000000e+02,2.135591633482402524e-02,2.248673267089110084e+00
3.880000000000000000e+02,1.097553765438177703e-01,6.423837923946345896e+00
3.890000000000000000e+02,2.744430143694954194e-01,7.610868541046476921e+00
3.900000000000000000e+02,4.199647150175220278e-01,3.857691261504853308e+00
3.910000000000000000e+02,4.780058271960704319e-01,8.177628744250250437e-01
3.920000000000000000e+02,4.908079359971380118e-01,5.555614490192454236e-01
3.930000000000000000e+02,4.974962214012633166e-01,4.711318196801728142e-01
3.940000000000000000e+02,5.036706610320160760e-01,4.139713262895134416e-01
3.950000000000000000e+02,5.091980409259307949e-01,4.119860313165978893e-01
3.960000000000000000e+02,5.153638422216850756e-01,4.419043842829404323e-01
3.970000000000000000e+02,5.120459803358340389e-01,1.812031048048268866e+00
3.980000000000000000e+02,4.468872335694148989e-01,5.990829164715688826e+00
3.990000000000000000e+02,2.922049145344402521e-01,8.649879285308209376e+00
4.000000000000000000e+02,1.156959828850502026e-01,5.727674140574520401e+00
4.010000000000000000e+02,2.447060594611997694e-02,1.630334240255504996e+00
4.020000000000000000e+02,3.491223234264716462e-03,2.161700499723550883e-01
4.030000000000000000e+02,6.803233019069812246e-04,3.067499228223457761e-02
4.040000000000000000e+02,2.158385867520503103e-04,6.969449929745698789e-03
4.050000000000000000e+02,9.726286310607367737e-05,2.397304884045979492e-03
4.060000000000000000e+02,5.476621782892919423e-05,1.060731594302496625e-03
4.070000000000000000e+02,3.548956852212002520e-05,7.385489458759963467e-04
4.080000000000000000e+02,2.434220401928156977e-05,5.199067515459196735e-04
4.090000000000000000e+02,1.811200534071876492e-05,4.725815626252605835e-04
4.100000000000000000e+02,1.356136784097077482e-05,3.450955072018602253e-04
4.110000000000000000e+02,1.142136522267567467e-05,4.461960433384740804e-04
4.120000000000000000e+02,1.009932692829927482e-05,4.988876515698584474e-04
4.130000000000000000e+02,8.701805611579272682e-06,4.760952285695233357e-04
4.140000000000000000e+02,7.948164880590487906e-06,4.399265319747763933e-04
4.150000000000000000e+02,7.836826395085338791e-06,4.494665749754943361e-04
4.160000000000000000e+02,7.661516390947750027e-06,4.277023415055064559e-04
4.170000000000000000e+02,7.875838844303048830e-06,4.714045207910312054e-04
4.180000000000000000e+02,7.565183018935972280e-06,4.113294533484313778e-04
4.190000000000000000e+02,7.915255551809234592e-06,4.020151261036844395e-04
4.200000000000000000e+02,7.341334054851015262e-06,3.993681878855014165e-04
4.210000000000000000e+02,7.892459512443763013e-06,4.860685407045247557e-04
4.220000000000000000e+02,7.046210260145036531e-06,4.675316658643122896e-04
4.230000000000000000e+02,7.398099802123782293e-06,4.691492407550177865e-04
4.240000000000000000e+02,8.015634971572529769e-06,4.714045207910311512e-04
