wavelength transmittance
360.0 3.5183250648119757e-06
361.0 3.9718837964904364e-06
362.0 3.8922601189472305e-06
363.0 3.8076455044829783e-06
364.0 4.199489655051566e-06
365.0 4.393481216047213e-06
366.0 4.407154885509632e-06
367.0 4.376934524016476e-06
368.0 4.656391735573638e-06
369.0 4.452479239068535e-06
370.0 5.097358295091925e-06
371.0 5.122458594312184e-06
372.0 5.027544495308151e-06
373.0 6.014878436212897e-06
374.0 7.450630526380262e-06
375.0 9.051520735537016e-06
376.0 1.2159230226861962e-05
377.0 1.636978601912745e-05
378.0 2.1619524112153743e-05
379.0 2.875901921832913e-05
380.0 3.7481259768991795e-05
381.0 4.754324887322097e-05
382.0 6.147309717941031e-05
383.0 8.386425561010262e-05
384.0 0.00013075427130974736
385.0 0.0003144341923914501
386.0 0.0019743020799298256
387.0 0.021359440796697857
388.0 0.10976633222692238
389.0 0.27443888328618393
390.0 0.4199541408561635
391.0 0.47804885734731517
392.0 0.4908300032134601
393.0 0.4975060929881963
394.0 0.5036454466748591
395.0 0.5092082195403326
396.0 0.5153793682522066
397.0 0.5120715924769648
398.0 0.4469364827901857
399.0 0.2922165989827902
400.0 0.11570117978362822
401.0 0.02447391489189031
402.0 0.0034916604513599786
403.0 0.0006803538401058907
404.0 0.00021584281842626732
405.0 9.72672603793558e-05
406.0 5.4773335907894665e-05
407.0 3.5490650739785625e-05
408.0 2.434319046473389e-05
409.0 1.8114376269632415e-05
410.0 1.3561309590224487e-05
411.0 1.1422343242507562e-05
412.0 1.0101037343359005e-05
413.0 8.702281191129672e-06
414.0 7.948887394982065e-06
415.0 7.837176380327047e-06
416.0 7.66274076598449e-06
417.0 7.876188126625129e-06
418.0 7.565910967146228e-06
419.0 7.915502168037562e-06
420.0 7.342149065275017e-06
421.0 7.89364534281951e-06
422.0 7.0465700407803835e-06
423.0 7.397995337978351e-06
424.0 8.015239191424646e-06
