wavelength transmittance
301.34 2.4742678172648635e-07
302.34 2.948091807667229e-07
303.34 4.300205029225694e-07
304.34 9.859253785903037e-07
305.34 2.3937560944450184e-06
306.34 3.6439465485756146e-06
307.34 5.927355822637532e-06
308.34 7.97662025054113e-06
309.34 1.0445842021325947e-05
310.34 1.3217964065124172e-05
311.34 1.5789038155112134e-05
312.34 3.262779554322138e-05
313.34 8.887282892779183e-05
314.34 0.00013253612844881974
315.34 0.00014272859184230374
316.34 0.00015999466413228833
317.34 0.0002360652229182835
318.34 0.0005677136627038323
319.34 0.002132046403066467
320.34 0.007872160721102688
321.34 0.02242661121095385
322.34 0.041373033882024894
323.34 0.06497151391517839
324.34 0.07964102374814129
325.34 0.08456037152079966
326.34 0.0919779856012858
327.34 0.09603741489992489
328.34 0.09989511432835214
329.34 0.10761843136449974
330.34 0.11011018602782865
331.34 0.1117002164519034
332.34 0.11790569917268583
333.34 0.12326916305350927
334.34 0.12725570201948092
335.34 0.131738854799243
336.34 0.134441808977734
337.34 0.1363726260102307
338.34 0.14190667170200358
339.34 0.1454329561925837
340.34 0.14863575963058698
341.34 0.1539329073844289
342.34 0.1582534358271777
343.34 0.16108243950321743
344.34 0.16182850986243164
345.34 0.1653684662246214
346.34 0.17137852576032514
347.34 0.17781271196438408
348.34 0.18325177494445405
349.34 0.18810910941060296
350.34 0.19249061762454897
351.34 0.19635213156759726
352.34 0.20058168921300207
353.34 0.20481718263841392
354.34 0.20771976630368116
355.34 0.21043205153532918
356.34 0.21298391660390767
357.34 0.21821756384590055
358.34 0.2253390716383859
359.34 0.2315167416122401
360.34 0.23571147117761726
361.34 0.23955489795251045
362.34 0.24271232360982586
363.34 0.24742151177316576
364.34 0.2549600105890751
365.34 0.2610685604027291
366.34 0.26548802132585153
367.34 0.273560498309511
368.34 0.2860925310325372
369.34 0.2836987411169848
370.34 0.27376019537871343
371.34 0.25025030898573253
372.34 0.21136728939735455
373.34 0.16562798327998057
374.34 0.12129452991386061
375.34 0.08458690368342009
376.34 0.05599372107756035
377.34 0.03672009824384614
378.34 0.024413966864942557
379.34 0.016607498371436036
380.34 0.011608477433771948
381.34 0.008357529264957808
382.34 0.006079151359769249
383.34 0.00443982655513514
384.34 0.0032465914362932386
385.34 0.0023324708770786707
386.34 0.0016128817547030672
387.34 0.001064187739358355
388.34 0.0006710785603006114
389.34 0.0003965799517755804
390.34 0.00021353036490279952
391.34 0.00010826393328498612
392.34 5.294784686012691e-05
393.34 2.6108212797120414e-05
394.34 1.5205864885934243e-05
395.34 1.0989290875156892e-05
396.34 9.210114249626535e-06
397.34 8.784684243429853e-06
398.34 7.548316360214335e-06
399.34 6.104612695244301e-06
400.34 6.359534701265341e-06
401.34 7.460001495851741e-06
402.34 8.45080120020241e-06
403.34 7.922275021680701e-06
404.34 7.761194851625655e-06
405.34 6.807501316526189e-06
406.34 6.461493747942934e-06
407.34 6.536976061489994e-06
408.34 7.1535795004409876e-06
409.34 7.250652012377785e-06
410.34 7.657367342235802e-06
411.34 8.535881286617418e-06
412.34 8.410373348289302e-06
413.34 6.894338114242527e-06
414.34 8.649986078952297e-06
415.34 8.101926898017753e-06
416.34 7.822103433932913e-06
417.34 7.815774937024287e-06
418.34 7.774458652406123e-06
419.34 7.431308986224693e-06
420.34 8.014408769189599e-06
421.34 7.3346884960623976e-06
422.34 8.083348718426692e-06
423.34 8.69025286587315e-06
424.34 7.97540667509653e-06
425.34 7.499941617065141e-06
426.34 8.060858140876829e-06
427.34 7.972355562030569e-06
428.34 7.929266134579818e-06
429.34 7.819660925053497e-06
430.34 8.86188707544872e-06
431.34 9.170907499411129e-06
432.34 8.130994204456343e-06
433.34 8.494060548492185e-06
434.34 8.391041266264194e-06
435.34 7.584147092260148e-06
436.34 8.608371294351857e-06
437.34 8.424558939341674e-06
438.34 8.13937031583937e-06
439.34 9.374467542676504e-06
440.34 9.304950997722663e-06
441.34 8.466315585951882e-06
442.34 8.821846223866978e-06
443.34 8.665744338755151e-06
444.34 9.739259991129755e-06
445.34 9.03330851668712e-06
446.34 8.970426486978804e-06
447.34 8.895250349154051e-06
448.34 7.464940036064494e-06
449.34 9.083337048325458e-06
