filter,central_wave,delta_wave,trapz_wave,trapz_width,mean_wave,mean_width,mean_1_wave,mean_1_width,pivot_wave,alambda_av
uJAVA,3562.6778927789273,351.74031740317423,3536.2689456307967,336.2582211995373,3536.268946289486,336.2582211995373,3536.106347273929,335.90598190107227,3527.264904014832,1.6130768003334772
J0378,3770.3751537515373,151.4112141121409,3773.447495281365,137.63505435194006,3773.447495237077,137.63505435194006,3773.41787822839,137.43249266315746,3772.599567922976,1.5178967455861283
J0395,3940.470604706047,102.96422964229669,3940.8290592075455,101.2668205612395,3940.829059281082,101.2668205612395,3940.814438793375,101.15536523111454,3940.436216692178,1.4590029011056644
J0410,4093.7580375803755,200.7554075540752,4095.3670650282857,196.6348632477849,4095.3670650850318,196.6348632477849,4095.3309780472923,196.40546266159947,4094.049808439732,1.4036933450376126
J0430,4291.690116901169,200.56720567205684,4292.528951346759,198.13514713924417,4292.528951234903,198.13514713924417,4292.492265315071,197.88990651214522,4291.2595756876335,1.3340854924413266
gDSSS,4750.896808968089,1545.2616526165266,4779.595942745883,1438.199330157528,4779.595942665389,1438.199330157528,4779.56303335377,1437.9358886519547,4716.262616258194,1.2099274368633226
J0515,5132.561620616207,207.24027240272426,5133.493615274059,205.14895296692947,5133.49361517597,205.14895296692947,5133.481200015299,205.0114859654694,5132.410239339893,1.0985787737017134
rSDSS,6257.848528485285,1466.89856898569,6266.54787609217,1376.2826241126318,6266.547876090163,1376.2826241126318,6266.52304787027,1375.917258319527,6222.377860621704,0.8692302962028476
J0660,6613.807938079381,147.37467374673724,6614.0226273569015,146.99406781658507,6614.022627468253,146.99406781658507,6614.002241934567,146.84941647284214,6613.581431811325,0.7979644385172159
iSDSS,7690.057950579506,1505.9039590395896,7683.749268376543,1416.734898250229,7683.749272563663,1416.734898250229,7683.604996795136,1415.849984799978,7644.395485104736,0.6510096515165288
J0861,8610.607006070062,408.4120841208405,8608.124119262806,395.47989527685866,8608.125382131122,395.4808801354933,8608.09551310519,395.09815131039323,8605.515171232862,0.5392773097597892
zSDSS,8830.668856688568,1182.2149221492218,8956.004077495232,1259.470312469786,8956.004597646845,1259.470312469786,8956.759011708977,1258.6581903046804,8912.851276134506,0.5144306561687627
