[Measurement Properties]
Wavelength Range (nm.):	740,00 to 1050,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	WI
Detector Unit:	Integral Sphere
Detector Change Wavelength:	920,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	04MAY2015
FILTER#12
BRAZIL

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
740,00	100,009	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,006	0,008	0,006	0,007	0,006	0,007	0,007	0,007	0,008	0,007	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,006	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,006	0,007	0,006	0,007	0,006	0,007	0,007	0,006	0,007	0,008	0,007	0,007	0,007	0,006	0,008	0,007	0,007	0,008	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,006	0,007	0,008	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,008	0,006	0,008	0,007	0,008	0,007	0,007	0,007	0,006	0,007	100,049
740,20	100,009	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,006	0,008	0,007	0,007	0,006	0,007	0,007	0,007	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,006	0,007	0,006	0,007	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,006	0,008	0,007	0,007	0,008	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,006	0,007	0,008	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,008	0,007	0,008	0,007	0,007	0,007	0,007	0,007	100,050
740,40	100,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,007	0,006	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,006	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,008	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,006	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,008	0,007	0,008	0,007	0,007	0,007	0,007	0,007	100,049
740,60	99,998	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,008	0,007	0,006	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,008	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,008	0,007	0,008	0,007	0,007	0,007	0,007	0,007	100,043
740,80	99,999	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,008	0,007	0,007	0,008	0,008	0,008	0,007	0,007	0,007	0,007	0,008	100,050
741,00	99,997	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,008	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,008	0,007	0,007	0,008	0,007	0,007	0,008	0,008	0,007	0,007	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,008	0,007	0,007	0,008	0,008	0,008	0,007	0,007	0,008	0,007	0,008	100,049
741,20	99,990	0,008	0,007	0,007	0,007	0,008	0,007	0,008	0,008	0,007	0,008	0,007	0,007	0,007	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,008	0,007	0,008	0,008	0,008	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,007	0,008	0,008	0,007	0,008	0,007	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,008	0,007	0,007	0,008	0,007	0,007	0,007	0,007	0,007	0,008	0,008	0,008	0,007	0,008	0,007	0,007	0,008	0,008	0,007	0,007	0,008	0,007	0,008	0,008	0,007	0,007	0,007	0,008	0,008	0,007	0,007	0,008	0,007	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,007	0,008	0,007	0,008	100,050
741,40	99,991	0,008	0,008	0,007	0,007	0,008	0,007	0,008	0,008	0,008	0,008	0,007	0,007	0,007	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,008	0,008	0,007	0,007	0,007	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,007	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,007	0,007	0,007	0,008	0,008	0,007	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,007	0,008	0,007	0,008	0,008	0,007	0,007	0,008	0,007	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	100,050
741,60	99,993	0,008	0,008	0,007	0,007	0,008	0,007	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,007	0,007	0,008	0,008	0,007	0,007	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,007	0,007	0,007	0,008	0,008	0,007	0,008	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,007	0,008	0,008	0,008	0,007	0,008	0,007	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	100,054
741,80	99,992	0,008	0,008	0,008	0,007	0,008	0,007	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,009	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,007	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,007	0,007	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,007	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	0,008	100,058
