[Measurement Properties]
Wavelength Range (nm.):	360,00 to 590,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Enabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	1,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	310,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	950,00 nm  1650,00 nm
Grating Change Wavelength:	840,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Enable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	SloanG
24/09/2015

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
360,00	99,972	0,000	0,003	0,008	0,003	0,002	0,004	0,005	0,003	0,004	0,006	0,005	0,007	0,000	0,003	0,008	0,006	0,005	0,003	0,005	0,007	0,004	0,005	0,001	0,007	0,004	0,005	0,006	0,004	0,004	0,006	0,003	0,009	0,006	0,002	0,006	0,009	0,005	0,001	0,007	0,005	0,004	0,009	0,000	0,000	0,005	0,003	0,005	0,002	0,002	0,004	0,004	0,003	0,007	0,002	0,007	0,003	0,004	0,003	0,005	0,008	0,004	0,005	0,006	0,005	0,006	0,004	0,007	0,005	0,004	0,005	0,008	0,002	0,004	0,007	0,005	0,005	0,006	0,002	0,006	0,003	0,007	0,005	0,002	0,006	-0,000	0,004	0,002	0,004	0,006	0,006	0,005	0,008	0,006	0,005	0,002	0,002	0,008	0,004	0,002	0,004	99,922
360,20	100,011	0,001	0,004	0,007	0,004	0,002	0,004	0,006	0,004	0,004	0,005	0,006	0,006	0,002	0,003	0,010	0,005	0,005	0,003	0,006	0,005	0,005	0,006	0,002	0,006	0,004	0,004	0,006	0,004	0,004	0,008	0,002	0,008	0,007	0,006	0,006	0,009	0,006	0,003	0,004	0,006	0,004	0,006	0,001	0,001	0,006	0,004	0,006	0,004	0,002	0,005	0,004	0,004	0,007	0,002	0,006	0,004	0,003	0,001	0,004	0,008	0,004	0,002	0,006	0,005	0,005	0,003	0,008	0,005	0,002	0,006	0,006	0,003	0,004	0,005	0,005	0,005	0,006	0,003	0,006	0,004	0,005	0,006	0,004	0,005	0,005	0,004	0,003	0,005	0,005	0,006	0,004	0,008	0,008	0,005	0,003	0,002	0,007	0,004	0,004	0,005	99,963
360,40	100,087	0,003	0,004	0,005	0,002	0,004	0,003	0,008	0,005	0,006	0,006	0,008	0,006	0,003	0,003	0,008	0,005	0,005	0,004	0,006	0,004	0,005	0,008	0,004	0,003	0,004	0,005	0,004	0,005	0,003	0,008	0,002	0,006	0,006	0,008	0,007	0,009	0,005	0,002	0,004	0,008	0,005	0,003	0,005	0,003	0,007	0,007	0,007	0,005	0,002	0,007	0,005	0,003	0,003	0,004	0,007	0,006	0,005	0,002	0,004	0,007	0,002	0,004	0,007	0,006	0,003	0,002	0,006	0,003	0,001	0,006	0,006	0,003	0,003	0,002	0,004	0,005	0,006	0,003	0,008	0,004	0,004	0,006	0,005	0,004	0,009	0,003	0,005	0,007	0,003	0,006	0,004	0,005	0,008	0,007	0,003	0,002	0,005	0,005	0,004	0,005	100,125
360,60	100,076	0,003	0,003	0,003	0,003	0,003	0,003	0,010	0,006	0,006	0,006	0,006	0,008	0,005	0,004	0,006	0,003	0,006	0,003	0,005	0,004	0,003	0,007	0,005	0,002	0,006	0,006	0,005	0,007	0,001	0,004	0,004	0,004	0,005	0,008	0,002	0,005	0,005	0,004	0,001	0,007	0,006	0,005	0,006	0,003	0,006	0,006	0,004	0,004	0,003	0,007	0,006	0,004	0,005	0,005	0,006	0,007	0,004	0,004	0,004	0,007	0,002	0,006	0,006	0,008	0,004	0,004	0,007	0,003	0,003	0,003	0,003	0,005	0,004	0,002	0,006	0,006	0,006	0,006	0,008	0,002	0,003	0,006	0,003	0,005	0,007	0,004	0,006	0,007	0,005	0,002	0,006	0,006	0,008	0,005	0,003	0,001	0,005	0,004	0,006	0,005	100,042
360,80	100,024	0,005	0,004	0,004	0,004	0,005	0,002	0,008	0,006	0,007	0,006	0,004	0,007	0,004	0,001	0,004	0,005	0,006	0,002	0,004	0,005	0,004	0,004	0,003	0,005	0,005	0,005	0,004	0,006	0,002	0,000	0,006	0,002	0,004	0,005	0,003	0,004	0,002	0,002	0,003	0,005	0,006	0,007	0,007	0,002	0,004	0,005	0,004	0,007	0,002	0,004	0,003	0,002	0,002	0,006	0,006	0,005	0,006	0,005	0,004	0,004	0,001	0,004	0,004	0,008	0,003	0,005	0,003	0,004	0,002	0,001	0,004	0,005	0,004	0,004	0,004	0,006	0,006	0,006	0,008	0,004	0,004	0,005	0,002	0,004	0,003	0,004	0,005	0,007	0,004	0,002	0,008	0,004	0,007	0,008	0,004	-0,000	0,003	0,004	0,006	0,003	100,141
361,00	99,971	0,006	0,007	0,004	0,006	0,005	0,003	0,004	0,008	0,006	0,004	0,004	0,007	0,006	0,004	0,003	0,004	0,006	0,001	0,005	0,004	0,005	0,004	0,004	0,006	0,005	0,003	0,006	0,004	0,004	-0,001	0,005	0,003	0,007	0,005	0,003	0,001	0,002	0,003	0,002	0,004	0,004	0,006	0,002	0,000	0,004	0,004	0,005	0,009	0,004	0,001	0,001	0,002	0,006	0,005	0,004	0,003	0,006	0,004	0,002	-0,000	0,003	0,001	0,002	0,004	0,004	0,004	0,003	0,006	0,004	-0,000	0,004	0,004	0,003	0,004	0,005	0,005	0,005	0,005	0,007	0,004	0,004	0,005	0,001	0,006	-0,001	0,005	0,005	0,004	0,005	0,001	0,009	0,004	0,005	0,010	0,005	0,001	0,005	0,004	0,006	0,003	100,105
361,20	99,931	0,005	0,007	0,006	0,006	0,006	0,005	0,003	0,009	0,008	0,004	0,005	0,005	0,005	0,005	0,004	0,004	0,004	0,002	0,006	0,005	0,006	0,004	0,003	0,006	0,005	0,004	0,003	0,003	0,007	0,000	0,007	0,004	0,009	0,005	0,004	0,002	0,002	0,004	0,005	0,002	0,003	0,004	0,004	0,000	0,005	0,005	0,005	0,010	0,003	0,002	-0,000	0,003	0,004	0,006	0,004	0,000	0,006	0,002	0,003	-0,002	0,004	0,001	0,002	0,003	0,002	0,004	0,002	0,006	0,004	-0,001	0,007	0,003	0,003	0,006	0,004	0,004	0,005	0,006	0,005	0,004	0,003	0,005	0,003	0,007	-0,000	0,004	0,004	0,003	0,003	0,005	0,008	0,003	0,005	0,010	0,007	0,003	0,006	0,003	0,003	0,007	100,159
361,40	100,070	0,004	0,006	0,005	0,005	0,003	0,006	0,005	0,007	0,007	0,004	0,005	0,006	0,003	0,009	0,006	0,004	0,005	0,002	0,003	0,004	0,006	0,005	0,004	0,004	0,006	0,004	0,002	0,002	0,006	0,001	0,006	0,001	0,010	0,006	0,001	0,002	0,005	0,003	0,006	0,002	0,005	0,000	0,004	0,002	0,005	0,006	0,004	0,005	0,005	0,006	0,002	0,004	0,005	0,008	0,003	0,002	0,003	0,004	0,004	0,001	0,005	0,003	0,004	0,002	0,006	0,004	0,002	0,006	0,006	-0,000	0,007	0,004	0,003	0,003	0,004	0,004	0,007	0,006	0,005	0,001	0,003	0,006	0,005	0,008	0,001	0,005	0,003	0,002	0,005	0,003	0,008	0,003	0,004	0,008	0,004	0,005	0,005	0,003	0,002	0,004	100,235
361,60	100,113	0,005	0,005	0,005	0,004	0,005	0,007	0,007	0,004	0,007	0,003	0,002	0,006	0,002	0,005	0,008	0,004	0,006	0,005	0,004	0,004	0,003	0,004	0,003	0,004	0,003	0,004	0,004	0,005	0,003	0,003	0,006	0,000	0,009	0,003	0,002	0,003	0,007	0,005	0,006	0,004	0,006	0,004	0,003	0,002	0,006	0,005	0,004	0,004	0,005	0,007	0,004	0,004	0,004	0,007	0,003	0,001	0,002	0,004	0,004	0,005	0,007	0,004	0,004	0,003	0,006	0,004	0,001	0,005	0,005	0,003	0,004	0,006	0,006	0,005	0,003	0,005	0,005	0,004	0,004	0,002	0,003	0,005	0,006	0,005	0,002	0,003	0,002	0,001	0,004	0,003	0,008	0,004	0,007	0,006	0,006	0,004	0,001	0,003	0,004	0,004	100,249
361,80	100,131	0,007	0,006	0,004	0,003	0,004	0,006	0,007	0,004	0,007	0,003	0,001	0,005	0,002	0,003	0,008	0,004	0,006	0,002	0,005	0,003	0,003	0,002	0,002	0,004	0,003	0,005	0,006	0,005	0,000	0,005	0,002	0,000	0,006	0,003	0,006	0,003	0,009	0,003	0,004	0,006	0,005	0,005	0,000	0,002	0,007	0,003	0,005	0,004	0,005	0,006	0,006	0,005	0,005	0,005	0,003	0,001	0,002	0,006	0,003	0,006	0,006	0,005	0,002	0,003	0,007	0,006	0,000	0,007	0,005	0,004	0,002	0,003	0,006	0,006	0,003	0,006	0,005	0,000	0,005	0,003	0,004	0,004	0,006	0,002	0,002	0,005	0,004	0,000	0,004	0,001	0,005	0,004	0,005	0,005	0,007	0,004	0,001	0,006	0,005	0,001	100,219
