# wavelength,transmittance
3.600000000000000000e+02,1.435281855941507182e-03
3.610000000000000000e+02,1.316646620302915679e-03
3.620000000000000000e+02,1.477775150635811515e-03
3.630000000000000000e+02,1.454449871594999536e-03
3.640000000000000000e+02,1.517716961514788696e-03
3.650000000000000000e+02,1.584062325148995198e-03
3.660000000000000000e+02,1.579468383458048839e-03
3.670000000000000000e+02,1.774272710786239026e-03
3.680000000000000000e+02,1.829606688266952009e-03
3.690000000000000000e+02,1.828569302420624291e-03
3.700000000000000000e+02,1.817630952318528056e-03
3.710000000000000000e+02,1.873792216602039465e-03
3.720000000000000000e+02,1.898286906997932819e-03
3.730000000000000000e+02,1.938511733559532095e-03
3.740000000000000000e+02,2.037191067100183745e-03
3.750000000000000000e+02,2.073662449371608922e-03
3.760000000000000000e+02,2.149824718913171881e-03
3.770000000000000000e+02,2.301854903024842715e-03
3.780000000000000000e+02,2.396570353762517321e-03
3.790000000000000000e+02,2.393768498113710112e-03
3.800000000000000000e+02,2.809231412296660929e-03
3.810000000000000000e+02,3.049075201953742840e-03
3.820000000000000000e+02,3.234319472278500852e-03
3.830000000000000000e+02,3.896285155658263822e-03
3.840000000000000000e+02,4.742302779920282325e-03
3.850000000000000000e+02,8.107371285808177841e-03
3.860000000000000000e+02,2.263120900268451863e-02
3.870000000000000000e+02,8.218748301655168231e-02
3.880000000000000000e+02,2.742055855214034499e-01
3.890000000000000000e+02,7.514813613986934815e-01
3.900000000000000000e+02,1.791448027088721417e+00
3.910000000000000000e+02,3.714271219371290123e+00
3.920000000000000000e+02,6.732219347816734256e+00
3.930000000000000000e+02,1.091507462014292074e+01
3.940000000000000000e+02,1.584765425469287869e+01
3.950000000000000000e+02,2.076809596583249018e+01
3.960000000000000000e+02,2.528176300075183747e+01
3.970000000000000000e+02,2.925854981756040019e+01
3.980000000000000000e+02,3.215229708449544432e+01
3.990000000000000000e+02,3.451572458142137378e+01
4.000000000000000000e+02,3.695591629306313308e+01
4.010000000000000000e+02,3.912902903045431913e+01
4.020000000000000000e+02,4.100185330365353309e+01
4.030000000000000000e+02,4.267514406598105836e+01
4.040000000000000000e+02,4.405874163048217440e+01
4.050000000000000000e+02,4.492141456816831635e+01
4.060000000000000000e+02,4.558207675567842188e+01
4.070000000000000000e+02,4.608704566519116241e+01
4.080000000000000000e+02,4.669335880284824469e+01
4.090000000000000000e+02,4.750662382466767752e+01
4.100000000000000000e+02,4.833052126848632923e+01
4.110000000000000000e+02,4.924039500525861968e+01
4.120000000000000000e+02,5.002688144506786472e+01
4.130000000000000000e+02,5.057270945210407831e+01
4.140000000000000000e+02,5.086854986957411029e+01
4.150000000000000000e+02,5.109185100670671176e+01
4.160000000000000000e+02,5.123756589989665855e+01
4.170000000000000000e+02,5.146344011961298293e+01
4.180000000000000000e+02,5.177012176642955410e+01
4.190000000000000000e+02,5.211608556637225576e+01
4.200000000000000000e+02,5.258416451764072974e+01
4.210000000000000000e+02,5.299463529194493105e+01
4.220000000000000000e+02,5.324142121053660048e+01
4.230000000000000000e+02,5.341347305324151051e+01
4.240000000000000000e+02,5.357895863903139855e+01
4.250000000000000000e+02,5.370582333438784417e+01
4.260000000000000000e+02,5.387324401845845046e+01
4.270000000000000000e+02,5.420347828472393559e+01
4.280000000000000000e+02,5.456408989922734065e+01
4.290000000000000000e+02,5.495628952443249915e+01
4.300000000000000000e+02,5.526905704751646908e+01
4.310000000000000000e+02,5.554311283404711475e+01
4.320000000000000000e+02,5.567834035777868706e+01
4.330000000000000000e+02,5.568127610191680787e+01
4.340000000000000000e+02,5.571594623545399116e+01
4.350000000000000000e+02,5.567198177352751998e+01
4.360000000000000000e+02,5.577041082388308979e+01
4.370000000000000000e+02,5.584060710836993735e+01
4.380000000000000000e+02,5.604679713192209789e+01
4.390000000000000000e+02,5.623821218236781760e+01
4.400000000000000000e+02,5.642035433776694475e+01
4.410000000000000000e+02,5.665505750592256362e+01
4.420000000000000000e+02,5.676447564336050533e+01
4.430000000000000000e+02,5.687245091319977774e+01
4.440000000000000000e+02,5.692521174625678526e+01
4.450000000000000000e+02,5.691133053016376664e+01
4.460000000000000000e+02,5.691358967814282011e+01
4.470000000000000000e+02,5.696265233528592375e+01
4.480000000000000000e+02,5.697273748990487263e+01
4.490000000000000000e+02,5.708233882794412040e+01
4.500000000000000000e+02,5.720251467306525939e+01
4.510000000000000000e+02,5.732928038476644161e+01
4.520000000000000000e+02,5.752560771770534132e+01
4.530000000000000000e+02,5.773265858136445416e+01
