# wavelength,transmittance
6.300000000000000000e+02,8.066695107452061830e-06
6.310000000000000000e+02,7.761047499768083054e-06
6.320000000000000000e+02,8.093412714842958342e-06
6.330000000000000000e+02,8.192458406002661392e-06
6.340000000000000000e+02,8.588688559451534770e-06
6.350000000000000000e+02,9.137516989889379383e-06
6.360000000000000000e+02,8.840900647937968544e-06
6.370000000000000000e+02,9.240190692547593004e-06
6.380000000000000000e+02,9.024164493190356873e-06
6.390000000000000000e+02,9.422696407848296508e-06
6.400000000000000000e+02,1.098177088069306086e-05
6.410000000000000000e+02,1.138209647117039450e-05
6.420000000000000000e+02,1.248134535598791033e-05
6.430000000000000000e+02,1.373758716001699698e-05
6.440000000000000000e+02,1.515252522134322208e-05
6.450000000000000000e+02,1.632834554209069885e-05
6.460000000000000000e+02,1.872744243424554641e-05
6.470000000000000000e+02,2.181983109273726213e-05
6.480000000000000000e+02,2.408375831894178916e-05
6.490000000000000000e+02,2.868303156691403666e-05
6.500000000000000000e+02,3.423471017539240195e-05
6.510000000000000000e+02,4.131822426037972290e-05
6.520000000000000000e+02,5.103703311845741845e-05
6.530000000000000000e+02,6.297241990054236211e-05
6.540000000000000000e+02,7.993375108870184886e-05
6.550000000000000000e+02,1.025938168903648258e-04
6.560000000000000000e+02,1.332216509203379385e-04
6.570000000000000000e+02,1.725253935162082317e-04
6.580000000000000000e+02,2.240644984448006264e-04
6.590000000000000000e+02,2.911905670993579064e-04
6.600000000000000000e+02,3.750361702543535082e-04
6.610000000000000000e+02,4.817981860488950102e-04
6.620000000000000000e+02,6.177134991764275012e-04
6.630000000000000000e+02,7.924592263203719721e-04
6.640000000000000000e+02,1.018320855253216847e-03
6.650000000000000000e+02,1.319963110505967393e-03
6.660000000000000000e+02,1.726161596278745275e-03
6.670000000000000000e+02,2.289565754622602603e-03
6.680000000000000000e+02,3.081414955425782962e-03
6.690000000000000000e+02,4.158300273163621254e-03
6.700000000000000000e+02,5.589270827433096347e-03
6.710000000000000000e+02,7.488903978831653631e-03
6.720000000000000000e+02,9.928841766424006607e-03
6.730000000000000000e+02,1.306518079783583995e-02
6.740000000000000000e+02,1.707891907669547432e-02
6.750000000000000000e+02,2.212691446459795139e-02
6.760000000000000000e+02,2.832539392370150497e-02
6.770000000000000000e+02,3.592434455048221925e-02
6.780000000000000000e+02,4.495907310569818155e-02
6.790000000000000000e+02,5.534584961847494738e-02
6.800000000000000000e+02,6.733329172001574492e-02
6.810000000000000000e+02,8.128365662755562826e-02
6.820000000000000000e+02,9.710606904036876708e-02
6.830000000000000000e+02,1.150376461344083945e-01
6.840000000000000000e+02,1.350211716882592505e-01
6.850000000000000000e+02,1.565900533489556490e-01
6.860000000000000000e+02,1.795568986009876133e-01
6.870000000000000000e+02,1.543453999069558102e-01
6.880000000000000000e+02,2.006231932161158249e-01
6.890000000000000000e+02,2.205461779094755603e-01
6.900000000000000000e+02,2.640520070529441266e-01
6.910000000000000000e+02,2.895656206760855444e-01
6.920000000000000000e+02,3.318246792670536127e-01
6.930000000000000000e+02,3.647391297514653297e-01
6.940000000000000000e+02,3.931522128288891249e-01
6.950000000000000000e+02,4.219908018489592627e-01
6.960000000000000000e+02,4.481576189059800486e-01
6.970000000000000000e+02,4.773933030918750542e-01
6.980000000000000000e+02,5.010401640652433208e-01
6.990000000000000000e+02,5.218950038069009034e-01
7.000000000000000000e+02,5.452083168460777340e-01
7.010000000000000000e+02,5.647835793286886119e-01
7.020000000000000000e+02,5.832285229852759434e-01
7.030000000000000000e+02,6.000732041416592111e-01
7.040000000000000000e+02,6.164050277949970624e-01
7.050000000000000000e+02,6.343160466461876812e-01
7.060000000000000000e+02,6.475375721322977896e-01
7.070000000000000000e+02,6.601668951292491982e-01
7.080000000000000000e+02,6.713701028273343363e-01
7.090000000000000000e+02,6.819778756313501500e-01
7.100000000000000000e+02,6.921121307674193979e-01
7.110000000000000000e+02,7.011127520291431381e-01
7.120000000000000000e+02,7.088403292786733534e-01
7.130000000000000000e+02,7.155949190434282015e-01
7.140000000000000000e+02,7.217184318101559359e-01
7.150000000000000000e+02,7.265718976023758380e-01
7.160000000000000000e+02,7.316617180274371801e-01
7.170000000000000000e+02,7.262021416096277049e-01
7.180000000000000000e+02,7.210160819088148321e-01
7.190000000000000000e+02,7.097761419309291941e-01
7.200000000000000000e+02,7.344387724422299923e-01
7.210000000000000000e+02,7.373545238720103923e-01
7.220000000000000000e+02,7.507939118311862670e-01
7.230000000000000000e+02,7.506207339039285831e-01
7.240000000000000000e+02,7.532044245109557057e-01
7.250000000000000000e+02,7.475582486911992453e-01
7.260000000000000000e+02,7.544473932496855717e-01
7.270000000000000000e+02,7.498734773127964104e-01
7.280000000000000000e+02,7.398989246822844645e-01
7.290000000000000000e+02,7.444803326321439707e-01
7.300000000000000000e+02,7.591444594877142515e-01
7.310000000000000000e+02,7.612507401859577305e-01
7.320000000000000000e+02,7.546440726516924213e-01
7.330000000000000000e+02,7.650978565272414933e-01
7.340000000000000000e+02,7.672675319802571003e-01
7.350000000000000000e+02,7.677023449881702488e-01
7.360000000000000000e+02,7.677581582477085442e-01
7.370000000000000000e+02,7.668012923260519864e-01
7.380000000000000000e+02,7.681528875244766352e-01
7.390000000000000000e+02,7.687854049809071943e-01
7.400000000000000000e+02,7.684514730512123082e-01
7.410000000000000000e+02,7.687396882881513127e-01
7.420000000000000000e+02,7.692919795314246967e-01
7.430000000000000000e+02,7.694774077012282998e-01
7.440000000000000000e+02,7.696543372119364346e-01
7.450000000000000000e+02,7.697662299255740859e-01
7.460000000000000000e+02,7.697194224212257074e-01
7.470000000000000000e+02,7.696539674660045627e-01
7.480000000000000000e+02,7.695838002653249132e-01
7.490000000000000000e+02,7.690538281868252168e-01
7.500000000000000000e+02,7.685870225475611717e-01
7.510000000000000000e+02,7.685124286399426241e-01
7.520000000000000000e+02,7.683624370713119101e-01
7.530000000000000000e+02,7.681236535239365226e-01
7.540000000000000000e+02,7.678036384418632787e-01
7.550000000000000000e+02,7.673974424761385027e-01
7.560000000000000000e+02,7.667575824122163652e-01
7.570000000000000000e+02,7.660622482958678869e-01
7.580000000000000000e+02,7.653733127969108985e-01
7.590000000000000000e+02,7.639990144509981596e-01
7.600000000000000000e+02,3.501083557668299706e-01
7.610000000000000000e+02,2.625253954638934184e-01
7.620000000000000000e+02,5.867009716248119400e-01
7.630000000000000000e+02,4.386501538401875733e-01
7.640000000000000000e+02,4.547086623850371545e-01
7.650000000000000000e+02,5.997884828965814874e-01
7.660000000000000000e+02,6.176905153085122668e-01
7.670000000000000000e+02,6.645272407913840329e-01
7.680000000000000000e+02,7.052691970714206615e-01
7.690000000000000000e+02,7.363485032355504556e-01
7.700000000000000000e+02,7.459503372276630184e-01
7.710000000000000000e+02,7.539445641803390608e-01
7.720000000000000000e+02,7.531571224460175129e-01
7.730000000000000000e+02,7.529496259820135373e-01
7.740000000000000000e+02,7.520390705463344538e-01
7.750000000000000000e+02,7.516730274513659937e-01
7.760000000000000000e+02,7.507297934268567507e-01
7.770000000000000000e+02,7.498403445592621841e-01
7.780000000000000000e+02,7.489477356189829793e-01
7.790000000000000000e+02,7.478494651345237720e-01
7.800000000000000000e+02,7.467783988131315720e-01
7.810000000000000000e+02,7.457162367565184358e-01
7.820000000000000000e+02,7.446549372167747816e-01
7.830000000000000000e+02,7.435481665311505228e-01
7.840000000000000000e+02,7.424425784348683832e-01
7.850000000000000000e+02,7.412049694753785056e-01
7.860000000000000000e+02,7.399123877439387487e-01
7.870000000000000000e+02,7.380949929684570421e-01
7.880000000000000000e+02,7.362113965541643434e-01
7.890000000000000000e+02,7.345207864053886482e-01
7.900000000000000000e+02,7.329212146708486975e-01
7.910000000000000000e+02,7.317552618326491620e-01
7.920000000000000000e+02,7.314247887169189610e-01
7.930000000000000000e+02,7.284844521145688034e-01
7.940000000000000000e+02,7.298525857200339750e-01
7.950000000000000000e+02,7.306767710495214452e-01
7.960000000000000000e+02,7.263422056433738172e-01
7.970000000000000000e+02,7.255697415231082692e-01
7.980000000000000000e+02,7.250602200006558418e-01
7.990000000000000000e+02,7.239806226206109141e-01
8.000000000000000000e+02,7.213685250529140447e-01
8.010000000000000000e+02,7.203165905028294791e-01
8.020000000000000000e+02,7.211938945361565656e-01
8.030000000000000000e+02,7.194081963351159903e-01
8.040000000000000000e+02,7.188190057125797283e-01
8.050000000000000000e+02,7.181731454583848429e-01
8.060000000000000000e+02,7.177692496823725454e-01
8.070000000000000000e+02,7.171082149703155162e-01
8.080000000000000000e+02,7.159601544990064070e-01
8.090000000000000000e+02,7.153626058179192171e-01
8.100000000000000000e+02,7.108317228768320506e-01
8.110000000000000000e+02,7.091813526847454696e-01
8.120000000000000000e+02,7.089038112695801308e-01
8.130000000000000000e+02,7.063345304231807287e-01
8.140000000000000000e+02,6.944026010542609928e-01
8.150000000000000000e+02,6.870380469930045253e-01
8.160000000000000000e+02,6.823204237612938705e-01
8.170000000000000000e+02,6.724916854132748645e-01
8.180000000000000000e+02,6.601719719919804108e-01
8.190000000000000000e+02,6.788452966920018872e-01
8.200000000000000000e+02,6.718013276555689917e-01
8.210000000000000000e+02,6.900908864694711431e-01
8.220000000000000000e+02,6.806173938455417627e-01
8.230000000000000000e+02,6.332715670527866436e-01
8.240000000000000000e+02,6.749197578433180356e-01
8.250000000000000000e+02,6.784302961826755851e-01
8.260000000000000000e+02,6.650043938901153417e-01
8.270000000000000000e+02,6.704707224919379538e-01
8.280000000000000000e+02,6.454386339271865891e-01
8.290000000000000000e+02,6.385960481274899347e-01
8.300000000000000000e+02,6.483425484041529518e-01
8.310000000000000000e+02,6.420624406859325450e-01
8.320000000000000000e+02,6.266682080923172693e-01
8.330000000000000000e+02,6.266915390586502710e-01
8.340000000000000000e+02,6.109173047981532045e-01
8.350000000000000000e+02,6.041640249607100888e-01
8.360000000000000000e+02,5.864500759285482534e-01
8.370000000000000000e+02,5.705100530277321669e-01
8.380000000000000000e+02,5.512271661711087845e-01
8.390000000000000000e+02,5.304910528069223252e-01
8.400000000000000000e+02,5.066572657451910988e-01
8.410000000000000000e+02,4.802590607443329440e-01
8.420000000000000000e+02,4.532623319215480784e-01
8.430000000000000000e+02,4.247766089702521008e-01
8.440000000000000000e+02,3.942437863109025664e-01
8.450000000000000000e+02,3.633065014439433860e-01
8.460000000000000000e+02,3.317098417343029015e-01
8.470000000000000000e+02,3.007083106304611619e-01
8.480000000000000000e+02,2.703287092199382347e-01
8.490000000000000000e+02,2.409643886392665302e-01
