# wavelength,transmittance
5.000000000000000000e+02,7.762643110000970605e-06
5.010000000000000000e+02,7.680844620616310363e-06
5.020000000000000000e+02,9.524259342678082613e-06
5.030000000000000000e+02,7.514764912921124842e-06
5.040000000000000000e+02,9.077898091750981002e-06
5.050000000000000000e+02,8.011839870970361043e-06
5.060000000000000000e+02,5.707758154262910813e-06
5.070000000000000000e+02,7.032881449369880630e-06
5.080000000000000000e+02,9.021488679621803556e-06
5.090000000000000000e+02,7.184194301468832044e-06
5.100000000000000000e+02,8.020119149898682041e-06
5.110000000000000000e+02,7.754409608881693481e-06
5.120000000000000000e+02,7.031137985221851849e-06
5.130000000000000000e+02,7.134849152782186926e-06
5.140000000000000000e+02,6.353761057893548319e-06
5.150000000000000000e+02,9.899867303791735616e-06
5.160000000000000000e+02,8.423232096964845543e-06
5.170000000000000000e+02,7.787533639382657435e-06
5.180000000000000000e+02,7.032017643021266793e-06
5.190000000000000000e+02,7.363119123002191997e-06
5.200000000000000000e+02,1.024561554438911026e-05
5.210000000000000000e+02,9.099677459792911738e-06
5.220000000000000000e+02,1.016052230241419675e-05
5.230000000000000000e+02,4.515877505509223784e-06
5.240000000000000000e+02,9.538995850623905456e-06
5.250000000000000000e+02,1.003451276337526021e-05
5.260000000000000000e+02,1.068911487836620775e-05
5.270000000000000000e+02,1.283295813935180124e-05
5.280000000000000000e+02,2.410423214167853860e-05
5.290000000000000000e+02,4.831195741145885456e-05
5.300000000000000000e+02,1.025262234558889114e-04
5.310000000000000000e+02,2.309144585655792858e-04
5.320000000000000000e+02,5.204230385416248623e-04
5.330000000000000000e+02,1.123298264982031548e-03
5.340000000000000000e+02,2.288145781929119219e-03
5.350000000000000000e+02,4.386614460454785029e-03
5.360000000000000000e+02,7.908866527013620751e-03
5.370000000000000000e+02,1.316249026360247383e-02
5.380000000000000000e+02,2.068266674202297317e-02
5.390000000000000000e+02,3.124708046255865457e-02
5.400000000000000000e+02,4.520549326706490428e-02
5.410000000000000000e+02,6.189393638974199224e-02
5.420000000000000000e+02,8.256468617835441282e-02
5.430000000000000000e+02,1.068970685209900545e-01
5.440000000000000000e+02,1.329868503513441658e-01
5.450000000000000000e+02,1.616851657370344808e-01
5.460000000000000000e+02,1.924984784717418962e-01
5.470000000000000000e+02,2.238034978346861159e-01
5.480000000000000000e+02,2.555162435779499419e-01
5.490000000000000000e+02,2.851406348784013556e-01
5.500000000000000000e+02,3.131699504581775262e-01
5.510000000000000000e+02,3.383530306450938108e-01
5.520000000000000000e+02,3.639373997075636136e-01
5.530000000000000000e+02,3.883179670993968102e-01
5.540000000000000000e+02,4.142931791488900228e-01
5.550000000000000000e+02,4.394460317480746170e-01
5.560000000000000000e+02,4.660058648513876745e-01
5.570000000000000000e+02,4.930715026139965151e-01
5.580000000000000000e+02,5.137353884126582004e-01
5.590000000000000000e+02,5.299233827439159272e-01
5.600000000000000000e+02,5.425078246977698138e-01
5.610000000000000000e+02,5.515691044432278201e-01
5.620000000000000000e+02,5.604982241998142101e-01
5.630000000000000000e+02,5.698199862989066222e-01
5.640000000000000000e+02,5.784017998545715189e-01
5.650000000000000000e+02,5.865782827062532290e-01
5.660000000000000000e+02,5.953213832758988966e-01
5.670000000000000000e+02,6.025029765258436143e-01
5.680000000000000000e+02,6.093836209846604790e-01
5.690000000000000000e+02,6.145361104506217309e-01
5.700000000000000000e+02,6.225222338683413792e-01
5.710000000000000000e+02,6.285128309222902665e-01
5.720000000000000000e+02,6.325750819422136795e-01
5.730000000000000000e+02,6.361324279111676416e-01
5.740000000000000000e+02,6.388429192354471153e-01
5.750000000000000000e+02,6.410032585252782855e-01
5.760000000000000000e+02,6.432490084902254823e-01
5.770000000000000000e+02,6.490024239425634667e-01
5.780000000000000000e+02,6.525815588520644805e-01
5.790000000000000000e+02,6.572187291006026388e-01
5.800000000000000000e+02,6.610264109243484398e-01
5.810000000000000000e+02,6.670023566972631546e-01
5.820000000000000000e+02,6.700397808980806946e-01
5.830000000000000000e+02,6.713685042877389764e-01
5.840000000000000000e+02,6.745589724980507462e-01
5.850000000000000000e+02,6.768428506710049142e-01
5.860000000000000000e+02,6.800656711495093321e-01
5.870000000000000000e+02,6.823427608366610109e-01
5.880000000000000000e+02,6.820548172205248560e-01
5.890000000000000000e+02,6.801763709117945034e-01
5.900000000000000000e+02,6.805179890141220822e-01
5.910000000000000000e+02,6.853284271728901089e-01
5.920000000000000000e+02,6.860248584935396687e-01
5.930000000000000000e+02,6.902918674344065142e-01
5.940000000000000000e+02,6.913901778155843170e-01
5.950000000000000000e+02,6.893238429299604064e-01
5.960000000000000000e+02,6.894612672791534669e-01
5.970000000000000000e+02,6.872792709781970766e-01
5.980000000000000000e+02,6.881424015844621600e-01
5.990000000000000000e+02,6.880197210268034214e-01
6.000000000000000000e+02,6.891764759723182365e-01
6.010000000000000000e+02,6.919936926476568662e-01
6.020000000000000000e+02,6.943866979445020293e-01
6.030000000000000000e+02,6.970915546559688369e-01
6.040000000000000000e+02,6.992147396396978243e-01
6.050000000000000000e+02,6.999717069363128319e-01
6.060000000000000000e+02,7.004392365396494569e-01
6.070000000000000000e+02,7.028657454617333045e-01
6.080000000000000000e+02,7.027149109370453006e-01
6.090000000000000000e+02,7.047887781221870984e-01
6.100000000000000000e+02,7.061671683585954984e-01
