# wavelength,transmittance
3.013399999999999750e+02,2.472835428423691430e-07
3.023399999999999750e+02,2.946766078449494209e-07
3.033399999999999750e+02,4.301726175498605007e-07
3.043399999999999750e+02,9.860655782291734870e-07
3.053399999999999750e+02,2.392797537357791427e-06
3.063399999999999750e+02,3.643654196300982378e-06
3.073399999999999750e+02,5.922817709299725190e-06
3.083399999999999750e+02,7.976578037207328944e-06
3.093399999999999750e+02,1.044733871512264598e-05
3.103399999999999750e+02,1.322119253202896954e-05
3.113399999999999750e+02,1.578824952143806961e-05
3.123399999999999750e+02,3.261905723762935030e-05
3.133399999999999750e+02,8.891295016354984167e-05
3.143399999999999750e+02,1.325057679318355185e-04
3.153399999999999750e+02,1.427061182883610250e-04
3.163399999999999750e+02,1.599693017073493294e-04
3.173399999999999750e+02,2.360280760473588372e-04
3.183399999999999750e+02,5.677153961128847837e-04
3.193399999999999750e+02,2.131453002760905820e-03
3.203399999999999750e+02,7.866062526146086822e-03
3.213399999999999750e+02,2.241468761050005587e-02
3.223399999999999750e+02,4.135439947376955833e-02
3.233399999999999750e+02,6.496110258543499882e-02
3.243399999999999750e+02,7.963223087692823665e-02
3.253399999999999750e+02,8.454489882394521094e-02
3.263399999999999750e+02,9.199451892013654764e-02
3.273399999999999750e+02,9.616935579109696375e-02
3.283399999999999750e+02,9.995693294709522003e-02
3.293399999999999750e+02,1.076627081469344327e-01
3.303399999999999750e+02,1.101706278731584832e-01
3.313399999999999750e+02,1.117021502703633984e-01
3.323399999999999750e+02,1.179036922490202394e-01
3.333399999999999750e+02,1.232845196725262660e-01
3.343399999999999750e+02,1.271463514756047686e-01
3.353399999999999750e+02,1.317501076950887973e-01
3.363399999999999750e+02,1.345644360313983379e-01
3.373399999999999750e+02,1.364219834538377141e-01
3.383399999999999750e+02,1.418051155238625183e-01
3.393399999999999750e+02,1.454665389998184843e-01
3.403399999999999750e+02,1.487389021188114946e-01
3.413399999999999750e+02,1.540106647734062473e-01
3.423399999999999750e+02,1.583244126421737563e-01
3.433399999999999750e+02,1.610142481525731473e-01
3.443399999999999750e+02,1.618393262952999567e-01
3.453399999999999750e+02,1.654341880997289294e-01
3.463399999999999750e+02,1.713786752978752326e-01
3.473399999999999750e+02,1.777567503513093061e-01
3.483399999999999750e+02,1.832521001418079831e-01
3.493399999999999750e+02,1.882474700701239623e-01
3.503399999999999750e+02,1.924383411783548992e-01
3.513399999999999750e+02,1.963062815921023108e-01
3.523399999999999750e+02,2.005584629672045593e-01
3.533399999999999750e+02,2.047076115019149101e-01
3.543399999999999750e+02,2.076903768319126042e-01
3.553399999999999750e+02,2.102944960638805094e-01
3.563399999999999750e+02,2.129858414441736236e-01
3.573399999999999750e+02,2.182595060051926994e-01
3.583399999999999750e+02,2.253171367733098340e-01
3.593399999999999750e+02,2.314657725356995543e-01
3.603399999999999750e+02,2.356374709597675032e-01
3.613399999999999750e+02,2.395545110603963246e-01
3.623399999999999750e+02,2.427289755076272593e-01
3.633399999999999750e+02,2.474117178065952938e-01
3.643399999999999750e+02,2.547810272517679886e-01
3.653399999999999750e+02,2.610206984937223362e-01
3.663399999999999750e+02,2.654778332582107270e-01
3.673399999999999750e+02,2.735240833788371573e-01
3.683399999999999750e+02,2.860986274669448659e-01
3.693399999999999750e+02,2.836802256785806997e-01
3.703399999999999750e+02,2.737169081412036409e-01
3.713399999999999750e+02,2.502524495103198854e-01
3.723399999999999750e+02,2.113478611225272918e-01
3.733399999999999750e+02,1.655848173790544220e-01
3.743399999999999750e+02,1.218358506461648255e-01
3.753399999999999750e+02,8.288887374872062896e-02
3.763399999999999750e+02,5.599073293328354906e-02
3.773399999999999750e+02,3.671804857848660203e-02
3.783399999999999750e+02,2.440917698527808946e-02
3.793399999999999750e+02,1.661218378995222775e-02
3.803399999999999750e+02,1.160552597810675553e-02
3.813399999999999750e+02,8.355545693979827410e-03
3.823399999999999750e+02,6.080370256100581586e-03
3.833399999999999750e+02,4.438836794800718119e-03
3.843399999999999750e+02,3.245934222364662940e-03
3.853399999999999750e+02,2.332079451130111922e-03
3.863399999999999750e+02,1.612573576514897411e-03
3.873399999999999750e+02,1.064137302473220238e-03
3.883399999999999750e+02,6.713700493180310138e-04
3.893399999999999750e+02,3.966182789208426971e-04
3.903399999999999750e+02,2.135535980768469514e-04
3.913399999999999750e+02,1.082802143813883198e-04
3.923399999999999750e+02,5.294068561924373623e-05
3.933399999999999750e+02,2.610823877191346352e-05
3.943399999999999750e+02,1.520679635687502881e-05
3.953399999999999750e+02,1.098695297460295690e-05
3.963399999999999750e+02,9.208245409110717437e-06
3.973399999999999750e+02,8.782811667371656961e-06
3.983399999999999750e+02,7.549098283081198358e-06
3.993399999999999750e+02,6.105552982582836118e-06
4.003399999999999750e+02,6.359900795633508122e-06
4.013399999999999750e+02,7.457953216597559842e-06
4.023399999999999750e+02,8.448996806945268837e-06
4.033399999999999750e+02,7.921078719789149944e-06
4.043399999999999750e+02,7.760204533822309827e-06
4.053399999999999750e+02,6.807736328458147117e-06
4.063399999999999750e+02,6.461771445394539667e-06
4.073399999999999750e+02,6.536420114195086635e-06
4.083399999999999750e+02,7.152143122214026625e-06
4.093399999999999750e+02,7.250486464335830247e-06
4.103399999999999750e+02,7.657900109220643038e-06
4.113399999999999750e+02,8.536425036861667871e-06
4.123399999999999750e+02,8.412259929315408523e-06
4.133399999999999750e+02,6.895650604603027177e-06
4.143399999999999750e+02,8.652218893398301748e-06
4.153399999999999750e+02,8.101626553257741686e-06
4.163399999999999750e+02,7.821798598016964810e-06
4.173399999999999750e+02,7.814610038208370839e-06
4.183399999999999750e+02,7.772901653896451080e-06
4.193399999999999750e+02,7.430604486812964461e-06
4.203399999999999750e+02,8.013412290354916668e-06
4.213399999999999750e+02,7.334370190960831080e-06
4.223399999999999750e+02,8.083547344498807948e-06
4.233399999999999750e+02,8.691667151854481010e-06
4.243399999999999750e+02,7.972765578092954662e-06
4.253399999999999750e+02,7.497218723404278902e-06
4.263399999999999750e+02,8.059778266897513611e-06
4.273399999999999750e+02,7.971339639154241023e-06
4.283399999999999750e+02,7.928818324002941942e-06
4.293399999999999750e+02,7.820008727245989893e-06
4.303399999999999750e+02,8.861237801598232451e-06
4.313399999999999750e+02,9.172116994966291215e-06
4.323399999999999750e+02,8.132234508643282629e-06
4.333399999999999750e+02,8.494013368742196220e-06
4.343399999999999750e+02,8.389887549895507337e-06
4.353399999999999750e+02,7.583709517175756398e-06
4.363399999999999750e+02,8.607581401778718205e-06
4.373399999999999750e+02,8.426081826947966693e-06
4.383399999999999750e+02,8.139306820998315476e-06
4.393399999999999750e+02,9.368741823492735546e-06
4.403399999999999750e+02,9.299645435066138490e-06
4.413399999999999750e+02,8.465534195408864649e-06
4.423399999999999750e+02,8.821181727553455376e-06
4.433399999999999750e+02,8.664750998597892548e-06
4.443399999999999750e+02,9.738496039443514653e-06
4.453399999999999750e+02,9.031721310149244531e-06
4.463399999999999750e+02,8.968535143802085867e-06
4.473399999999999750e+02,8.895225382421546211e-06
4.483399999999999750e+02,7.465163201418528227e-06
4.493399999999999750e+02,9.081731217047377797e-06
