# wavelength,transmittance
7.400000000000000000e+02,5.583302386266187928e-05
7.410000000000000000e+02,5.861738630661670501e-05
7.420000000000000000e+02,6.340123718234296445e-05
7.430000000000000000e+02,6.782036390743357668e-05
7.440000000000000000e+02,7.232118631079518883e-05
7.450000000000000000e+02,7.907034373012129770e-05
7.460000000000000000e+02,8.594697774582147438e-05
7.470000000000000000e+02,9.176609947807024665e-05
7.480000000000000000e+02,9.829940953230725158e-05
7.490000000000000000e+02,1.061785686579375912e-04
7.500000000000000000e+02,1.151893776060762878e-04
7.510000000000000000e+02,1.252288746709812473e-04
7.520000000000000000e+02,1.347593324264051168e-04
7.530000000000000000e+02,1.459398749886878276e-04
7.540000000000000000e+02,1.586705436400775049e-04
7.550000000000000000e+02,1.734320552708299617e-04
7.560000000000000000e+02,1.887823418146381135e-04
7.570000000000000000e+02,2.049132926816472368e-04
7.580000000000000000e+02,2.231316648592551093e-04
7.590000000000000000e+02,2.444083897089065248e-04
7.600000000000000000e+02,1.230092584633488010e-04
7.610000000000000000e+02,1.015778165778645237e-04
7.620000000000000000e+02,2.507601720027661878e-04
7.630000000000000000e+02,2.078171837840322425e-04
7.640000000000000000e+02,2.387000333734611143e-04
7.650000000000000000e+02,3.501519894505122888e-04
7.660000000000000000e+02,4.010893858025923824e-04
7.670000000000000000e+02,4.821682870475561301e-04
7.680000000000000000e+02,5.734331015573241111e-04
7.690000000000000000e+02,6.710988734282205548e-04
7.700000000000000000e+02,7.615582628335520847e-04
7.710000000000000000e+02,8.619665772643915957e-04
7.720000000000000000e+02,9.649241663695667026e-04
7.730000000000000000e+02,1.079796958313560288e-03
7.740000000000000000e+02,1.210213218877659183e-03
7.750000000000000000e+02,1.359347092108255384e-03
7.760000000000000000e+02,1.526020803869658016e-03
7.770000000000000000e+02,1.712599027260779550e-03
7.780000000000000000e+02,1.922967797902678643e-03
7.790000000000000000e+02,2.160434992683137219e-03
7.800000000000000000e+02,2.427389736589620310e-03
7.810000000000000000e+02,2.733164614377071519e-03
7.820000000000000000e+02,3.087699012270763571e-03
7.830000000000000000e+02,3.497111347447721865e-03
7.840000000000000000e+02,3.973447515193910713e-03
7.850000000000000000e+02,4.520877138317397868e-03
7.860000000000000000e+02,5.148576156086117316e-03
7.870000000000000000e+02,5.868130343592130489e-03
7.880000000000000000e+02,6.705134925788069217e-03
7.890000000000000000e+02,7.670632674309290841e-03
7.900000000000000000e+02,8.788720531621893942e-03
7.910000000000000000e+02,1.007202199373346922e-02
7.920000000000000000e+02,1.154327298162705420e-02
7.930000000000000000e+02,1.316245935813808825e-02
7.940000000000000000e+02,1.509674095504620617e-02
7.950000000000000000e+02,1.729219863187165737e-02
7.960000000000000000e+02,1.963253528207016887e-02
7.970000000000000000e+02,2.235649288977929749e-02
7.980000000000000000e+02,2.542878771472013161e-02
7.990000000000000000e+02,2.890753035369076490e-02
8.000000000000000000e+02,3.279388398568777035e-02
8.010000000000000000e+02,3.719616154033319327e-02
8.020000000000000000e+02,4.215946515927748717e-02
8.030000000000000000e+02,4.750695904787272106e-02
8.040000000000000000e+02,5.360548599495539024e-02
8.050000000000000000e+02,6.039920557312600941e-02
8.060000000000000000e+02,6.794037745820584451e-02
8.070000000000000000e+02,7.622170998229010896e-02
8.080000000000000000e+02,8.511069511368191121e-02
8.090000000000000000e+02,9.478464931818092465e-02
8.100000000000000000e+02,1.046698147863490830e-01
8.110000000000000000e+02,1.156304398915150022e-01
8.120000000000000000e+02,1.275700081601536529e-01
8.130000000000000000e+02,1.398575680360059081e-01
8.140000000000000000e+02,1.507854740478792865e-01
8.150000000000000000e+02,1.628142844619921981e-01
8.160000000000000000e+02,1.756959941488143717e-01
8.170000000000000000e+02,1.873455501491597675e-01
8.180000000000000000e+02,1.982146852918468816e-01
8.190000000000000000e+02,2.191891389243875166e-01
8.200000000000000000e+02,2.327235085780181290e-01
8.210000000000000000e+02,2.555995861601451646e-01
8.220000000000000000e+02,2.686626895581928354e-01
8.230000000000000000e+02,2.656452339699095222e-01
8.240000000000000000e+02,2.997822245190197021e-01
8.250000000000000000e+02,3.183726606599160402e-01
8.260000000000000000e+02,3.290977512404654193e-01
8.270000000000000000e+02,3.494440591386017148e-01
8.280000000000000000e+02,3.537033354448826383e-01
8.290000000000000000e+02,3.673318083732353689e-01
8.300000000000000000e+02,3.908915353765751166e-01
8.310000000000000000e+02,4.053813940296560614e-01
8.320000000000000000e+02,4.144813398116442560e-01
8.330000000000000000e+02,4.343269142787208326e-01
8.340000000000000000e+02,4.440007904460835375e-01
8.350000000000000000e+02,4.609444290360737440e-01
8.360000000000000000e+02,4.706667718965841241e-01
8.370000000000000000e+02,4.822035354192740764e-01
8.380000000000000000e+02,4.920953224391332870e-01
8.390000000000000000e+02,5.025475435511428390e-01
8.400000000000000000e+02,5.115441917869252286e-01
8.410000000000000000e+02,5.192714532500095626e-01
8.420000000000000000e+02,5.275435089561617552e-01
8.430000000000000000e+02,5.353342778358880505e-01
8.440000000000000000e+02,5.420577032315141430e-01
8.450000000000000000e+02,5.490324473852139509e-01
8.460000000000000000e+02,5.547142562448627023e-01
8.470000000000000000e+02,5.601861780182353368e-01
8.480000000000000000e+02,5.648314199295619842e-01
8.490000000000000000e+02,5.695613513835028341e-01
